timestamp,visitorid,itemid,event,transactionid
1765193995995,1102,100027,view,
1767019490995,1082,100096,view,
1766900726995,1103,100437,view,
1766088367995,1188,100149,view,
1767065251995,1047,100064,addtocart,
1765104408995,1068,100022,view,
1764642644995,1117,100064,view,
1765124504995,1113,100336,view,
1765165893995,1198,100445,addtocart,
1764747205995,1189,100495,view,
1765156424995,1098,100115,transaction,tx_6
1765273778995,1007,100116,view,
1766130525995,1007,100458,view,
1765215457995,1148,100343,view,
1765306864995,1189,100053,view,
1766511237995,1019,100306,view,
1766673163995,1180,100089,view,
1765159949995,1043,100024,view,
1765194137995,1035,100294,view,
1767204409995,1062,100019,view,
1766227721995,1060,100353,view,
1765053856995,1027,100124,transaction,tx_98
1764686930995,1133,100451,view,
1764675177995,1071,100051,view,
1767081084995,1081,100400,view,
1764779259995,1114,100019,view,
1764676986995,1120,100155,view,
1766271616995,1004,100270,view,
1767143374995,1050,100099,view,
1765265914995,1011,100009,view,
1764678462995,1163,100227,view,
1765993191995,1165,100001,view,
1766815680995,1079,100121,view,
1766262232995,1008,100481,view,
1765118861995,1161,100480,view,
1765572232995,1126,100399,view,
1767006663995,1010,100382,view,
1766733475995,1116,100271,view,
1766922505995,1134,100296,view,
1766109442995,1163,100446,view,
1765269270995,1121,100081,view,
1765470036995,1100,100290,view,
1766593655995,1072,100047,view,
1765721971995,1017,100463,view,
1766746628995,1180,100079,view,
1764675826995,1133,100466,view,
1765042521995,1178,100301,view,
1766350418995,1165,100048,view,
1766673744995,1184,100476,view,
1764745063995,1087,100458,addtocart,
1765173172995,1049,100424,view,
1764694900995,1121,100087,view,
1766597240995,1048,100431,view,
1764984517995,1023,100082,view,
1764825910995,1163,100210,view,
1766231714995,1042,100351,view,
1764653847995,1039,100318,view,
1764627807995,1100,100372,addtocart,
1764955000995,1151,100088,view,
1764879683995,1090,100024,addtocart,
1764768748995,1086,100398,view,
1766287274995,1005,100213,view,
1764713887995,1062,100039,view,
1764860888995,1091,100163,view,
1766162761995,1045,100207,view,
1765411710995,1119,100465,view,
1765276538995,1024,100015,addtocart,
1764687554995,1099,100093,view,
1764768493995,1153,100041,transaction,tx_45
1764897142995,1151,100085,view,
1765492738995,1135,100350,transaction,tx_18
1765500175995,1123,100346,view,
1766895759995,1156,100289,view,
1764676690995,1029,100048,view,
1765364336995,1080,100358,view,
1764851940995,1004,100116,view,
1765576825995,1136,100351,addtocart,
1765147114995,1015,100363,addtocart,
1766906117995,1009,100045,addtocart,
1765649540995,1158,100443,view,
1765140553995,1014,100149,transaction,tx_95
1766915237995,1078,100468,transaction,tx_77
1764656211995,1072,100164,view,
1764900810995,1058,100168,view,
1764682642995,1169,100047,view,
1766551268995,1121,100174,view,
1765217789995,1097,100410,view,
1766869332995,1084,100191,transaction,tx_86
1765420910995,1011,100103,view,
1765842123995,1028,100420,addtocart,
1767197195995,1146,100168,view,
1765088397995,1022,100463,view,
1766275917995,1153,100058,view,
1766253901995,1152,100215,view,
1765152154995,1024,100041,addtocart,
1764801353995,1087,100332,addtocart,
1764897758995,1112,100352,view,
1767047294995,1076,100095,view,
1766899555995,1048,100390,view,
1764704837995,1021,100122,view,
1765227034995,1168,100146,view,
1765069312995,1076,100132,addtocart,
1764958582995,1131,100027,view,
1766183988995,1059,100028,view,
1765399009995,1007,100113,view,
1764918746995,1088,100500,transaction,tx_94
1765582828995,1140,100320,view,
1766036487995,1144,100359,view,
1767076437995,1017,100341,view,
1765052928995,1129,100449,view,
1766821058995,1176,100045,view,
1765208726995,1152,100233,view,
1764759673995,1174,100197,view,
1765152080995,1028,100236,addtocart,
1765131086995,1199,100025,view,
1766493278995,1168,100097,view,
1766212458995,1058,100033,view,
1765894083995,1112,100393,view,
1764791719995,1144,100220,view,
1764735791995,1197,100080,addtocart,
1764829517995,1167,100156,view,
1764827340995,1134,100347,addtocart,
1767191195995,1069,100282,addtocart,
1764724465995,1032,100465,view,
1765288282995,1164,100053,view,
1764677223995,1176,100149,transaction,tx_66
1765359446995,1001,100187,addtocart,
1764944644995,1153,100122,view,
1764629144995,1156,100372,view,
1765062196995,1120,100178,addtocart,
1766287345995,1003,100149,view,
1764785635995,1168,100185,view,
1764765272995,1017,100312,view,
1765783716995,1078,100303,view,
1765068967995,1059,100175,view,
1764959059995,1075,100175,view,
1765195093995,1099,100160,view,
1764864810995,1176,100007,view,
1766808245995,1079,100112,transaction,tx_3
1766303563995,1128,100443,view,
1764672797995,1052,100353,view,
1766117945995,1050,100084,addtocart,
1764935987995,1098,100072,view,
1764629082995,1037,100098,view,
1764984363995,1009,100148,view,
1765017802995,1014,100067,view,
