itemid,property,value
100001,category,cat_16
100002,category,cat_20
100003,category,cat_16
100004,category,cat_15
100005,category,cat_19
100006,category,cat_19
100007,category,cat_20
100008,category,cat_15
100009,category,cat_8
100010,category,cat_6
100011,category,cat_1
100012,category,cat_9
100013,category,cat_10
100014,category,cat_4
100015,category,cat_1
100016,category,cat_20
100017,category,cat_14
100018,category,cat_16
100019,category,cat_11
100020,category,cat_6
100021,category,cat_15
100022,category,cat_13
100023,category,cat_9
100024,category,cat_20
100025,category,cat_9
100026,category,cat_14
100027,category,cat_12
100028,category,cat_4
100029,category,cat_8
100030,category,cat_9
100031,category,cat_13
100032,category,cat_18
100033,category,cat_20
100034,category,cat_16
100035,category,cat_19
100036,category,cat_1
100037,category,cat_7
100038,category,cat_12
100039,category,cat_6
100040,category,cat_10
100041,category,cat_3
100042,category,cat_15
100043,category,cat_16
100044,category,cat_15
100045,category,cat_7
100046,category,cat_5
100047,category,cat_1
100048,category,cat_13
100049,category,cat_2
100050,category,cat_14
100051,category,cat_15
100052,category,cat_12
100053,category,cat_4
100054,category,cat_17
100055,category,cat_12
100056,category,cat_7
100057,category,cat_18
100058,category,cat_13
100059,category,cat_13
100060,category,cat_18
100061,category,cat_1
100062,category,cat_9
100063,category,cat_3
100064,category,cat_11
100065,category,cat_5
100066,category,cat_20
100067,category,cat_9
100068,category,cat_10
100069,category,cat_12
100070,category,cat_20
100071,category,cat_14
100072,category,cat_10
100073,category,cat_12
100074,category,cat_19
100075,category,cat_2
100076,category,cat_14
100077,category,cat_5
100078,category,cat_19
100079,category,cat_3
100080,category,cat_19
100081,category,cat_14
100082,category,cat_19
100083,category,cat_17
100084,category,cat_8
100085,category,cat_14
100086,category,cat_9
100087,category,cat_7
100088,category,cat_9
100089,category,cat_18
100090,category,cat_7
100091,category,cat_4
100092,category,cat_8
100093,category,cat_17
100094,category,cat_15
100095,category,cat_2
100096,category,cat_10
100097,category,cat_18
100098,category,cat_12
100099,category,cat_6
100100,category,cat_10
100101,category,cat_14
100102,category,cat_5
100103,category,cat_9
100104,category,cat_9
100105,category,cat_13
100106,category,cat_1
100107,category,cat_19
100108,category,cat_4
100109,category,cat_5
100110,category,cat_1
100111,category,cat_1
100112,category,cat_10
100113,category,cat_15
100114,category,cat_10
100115,category,cat_12
100116,category,cat_13
100117,category,cat_7
100118,category,cat_2
100119,category,cat_11
100120,category,cat_13
100121,category,cat_2
100122,category,cat_1
100123,category,cat_8
100124,category,cat_17
100125,category,cat_3
100126,category,cat_11
100127,category,cat_11
100128,category,cat_5
100129,category,cat_9
100130,category,cat_12
100131,category,cat_18
100132,category,cat_11
100133,category,cat_20
100134,category,cat_13
100135,category,cat_18
100136,category,cat_16
100137,category,cat_13
100138,category,cat_13
100139,category,cat_14
100140,category,cat_18
100141,category,cat_13
100142,category,cat_14
100143,category,cat_14
100144,category,cat_11
100145,category,cat_20
100146,category,cat_9
100147,category,cat_2
100148,category,cat_20
100149,category,cat_10
100150,category,cat_12
100151,category,cat_18
100152,category,cat_18
100153,category,cat_13
100154,category,cat_9
100155,category,cat_3
100156,category,cat_4
100157,category,cat_16
100158,category,cat_2
100159,category,cat_11
100160,category,cat_5
100161,category,cat_17
100162,category,cat_2
100163,category,cat_11
